Channel_Name,Media_Likes
CampusX,618.0142721217887
Kevin Stratvert,9275.77829638273
Andrej Karpathy,18209.866666666665
Keith Galli,3621.7191011235955
Guy in a Cube,580.7820636451302
Rob Mulla,2980.2229299363057
Ryan Nolan Data,72.87898089171975
DeepLearningAI,508.03225806451616
Darshil Parmar,1293.032894736842
WsCube Tech,1408.9277971351141
Rishabh Mishra,5960.659090909091
techTFQ,3183.9632352941176
Alex The Analyst,2968.2077922077924
Thu Vu data analytics,3831.5172413793102
Kaggle,206.2736842105263
Ken Jee,1138.205574912892
Luke Barousse,4735.213836477988
Tina Huang,6346.594594594595
Chandoo,2270.351464435146
StatQuest with Josh Starmer,5136.878136200717
Krish Naik,1278.4623773173391
sentdex,1087.07336523126
Socratica,1834.5908396946566
Tableau Tim,117.58431372549019
Nicholas Renotte,1762.5324675324675
Leila Gharani,9843.672945205479
Dataquest,986.48
codebasics,2139.049943246311
freeCodeCamp.org,9753.780738946094
ExcelIsFun,297.6154684095861
