Channel_Name,Media_Views
CampusX,21290.431969552807
Kevin Stratvert,493014.4480746791
Andrej Karpathy,706170.4
Keith Galli,171108.11235955055
Guy in a Cube,34470.85149469624
Rob Mulla,74500.36305732484
Ryan Nolan Data,2124.2738853503183
DeepLearningAI,42850.811059907835
Darshil Parmar,41889.80921052631
WsCube Tech,56606.22861014325
Rishabh Mishra,189260.8409090909
techTFQ,123595.00735294117
Alex The Analyst,115743.17207792208
Thu Vu data analytics,91041.40229885057
Kaggle,11230.98947368421
Ken Jee,31429.480836236933
Luke Barousse,139870.2893081761
Tina Huang,141489.04054054053
Chandoo,101318.42976939204
StatQuest with Josh Starmer,236543.85663082436
Krish Naik,54007.81897491821
sentdex,91651.90829346092
Socratica,89569.76488549619
Tableau Tim,7896.405882352941
Nicholas Renotte,57771.19805194805
Leila Gharani,434661.2294520548
Dataquest,42317.34
codebasics,97847.21225879682
freeCodeCamp.org,438728.07752877043
ExcelIsFun,41760.51717557252
