Channel_Name,Num_videos
CampusX,1051
Kevin Stratvert,857
Andrej Karpathy,15
Keith Galli,89
Guy in a Cube,1037
Rob Mulla,157
Ryan Nolan Data,157
DeepLearningAI,434
Darshil Parmar,152
WsCube Tech,5166
Rishabh Mishra,88
techTFQ,136
Alex The Analyst,308
Thu Vu data analytics,87
Kaggle,380
Ken Jee,287
Luke Barousse,159
Tina Huang,222
Chandoo,478
StatQuest with Josh Starmer,279
Krish Naik,1834
sentdex,1254
Socratica,655
Tableau Tim,510
Nicholas Renotte,308
Leila Gharani,584
Dataquest,50
codebasics,881
freeCodeCamp.org,1651
ExcelIsFun,3674
